Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:00<00:00, 362.85it/s]
rope self-test worst cosine: 0.999997
resuming: 0 records done
[113-competitor-v1-00-base knorm:0.05 t=16] repro=True/True L22needle=0.305/0.300
[113-competitor-v1-00-base knorm:0.05 t=22] repro=True/True L22needle=0.274/0.296
[113-competitor-v1-00-base knorm:0.1 t=16] repro=True/True L22needle=0.305/0.301
[113-competitor-v1-00-base knorm:0.1 t=22] repro=True/True L22needle=0.274/0.215
[113-competitor-v1-00-base knorm:0.25 t=15] repro=True/True L22needle=0.252/0.302
[113-competitor-v1-00-base knorm:0.25 t=21] repro=True/True L22needle=0.321/0.238
[113-competitor-v1-00-base knorm:0.5 t=15] repro=True/True L22needle=0.252/0.330
[113-competitor-v1-00-base knorm:0.5 t=20] repro=True/True L22needle=0.314/0.079
[113-competitor-v1-00-planted knorm:0.05 t=16] repro=True/True L22needle=0.337/0.333
[113-competitor-v1-00-planted knorm:0.05 t=19] repro=True/True L22needle=0.414/0.336
[113-competitor-v1-00-planted knorm:0.1 t=15] repro=True/True L22needle=0.254/0.312
[113-competitor-v1-00-planted knorm:0.1 t=18] repro=True/True L22needle=0.341/0.377
[113-competitor-v1-00-planted knorm:0.25 t=15] repro=True/True L22needle=0.254/0.341
[113-competitor-v1-00-planted knorm:0.25 t=18] repro=True/True L22needle=0.341/0.366
[113-competitor-v1-00-planted knorm:0.5 t=15] repro=True/True L22needle=0.254/0.396
[113-competitor-v1-00-planted knorm:0.5 t=18] repro=True/True L22needle=0.341/0.280
[113-competitor-v1-01-base knorm:0.05 t=16] repro=True/True L22needle=0.301/0.300
[113-competitor-v1-01-base knorm:0.05 t=22] repro=True/True L22needle=0.237/0.120
[113-competitor-v1-01-base knorm:0.1 t=15] repro=True/True L22needle=0.259/0.291
[113-competitor-v1-01-base knorm:0.1 t=21] repro=True/True L22needle=0.346/0.151
[113-competitor-v1-01-base knorm:0.25 t=15] repro=True/True L22needle=0.259/0.293
[113-competitor-v1-01-base knorm:0.25 t=21] repro=True/True L22needle=0.346/0.154
[113-competitor-v1-01-base knorm:0.5 t=15] repro=True/True L22needle=0.259/0.318
[113-competitor-v1-01-base knorm:0.5 t=20] repro=True/True L22needle=0.329/0.107
[113-competitor-v1-01-planted knorm:0.05 t=16] repro=True/True L22needle=0.345/0.328
[113-competitor-v1-01-planted knorm:0.05 t=20] repro=True/True L22needle=0.340/0.270
[113-competitor-v1-01-planted knorm:0.1 t=15] repro=True/True L22needle=0.244/0.331
[113-competitor-v1-01-planted knorm:0.1 t=19] repro=True/True L22needle=0.338/0.276
[113-competitor-v1-01-planted knorm:0.25 t=15] repro=True/True L22needle=0.244/0.310
[113-competitor-v1-01-planted knorm:0.25 t=19] repro=True/True L22needle=0.338/0.184
[113-competitor-v1-01-planted knorm:0.5 t=15] repro=True/True L22needle=0.244/0.323
[113-competitor-v1-01-planted knorm:0.5 t=19] repro=True/True L22needle=0.338/0.095
[113-competitor-v1-02-planted knorm:0.1 t=16] repro=True/True L22needle=0.331/0.321
[113-competitor-v1-02-planted knorm:0.1 t=20] repro=True/True L22needle=0.379/0.241
[113-competitor-v1-02-planted knorm:0.25 t=15] repro=True/True L22needle=0.263/0.291
[113-competitor-v1-02-planted knorm:0.25 t=19] repro=True/True L22needle=0.317/0.176
[113-competitor-v1-02-planted knorm:0.5 t=15] repro=True/True L22needle=0.263/0.290
[113-competitor-v1-02-planted knorm:0.5 t=19] repro=True/True L22needle=0.317/0.155
[113-competitor-v1-03-base knorm:0.5 t=15] repro=True/True L22needle=0.227/0.316
[113-competitor-v1-03-base knorm:0.5 t=21] repro=True/True L22needle=0.278/0.148
[113-competitor-v1-03-planted knorm:0.25 t=15] repro=True/True L22needle=0.219/0.278
[113-competitor-v1-03-planted knorm:0.25 t=21] repro=True/True L22needle=0.295/0.137
[113-competitor-v1-03-planted knorm:0.5 t=15] repro=True/True L22needle=0.219/0.317
[113-competitor-v1-03-planted knorm:0.5 t=21] repro=True/True L22needle=0.295/0.158
campaign done
